id,user_id,facebook_id,movie_name,category,created_time
316,18,18128947058,Kung Fu Panda,Movie,2010-12-21 20:21:45
317,18,111849862165426,Constantine,Movie,2010-05-08 22:21:56
318,18,115116961836551,National Treasure 2,Movie,2010-07-22 11:59:23
319,18,74089565764,The Hangover,Movie,2010-01-05 14:46:26
320,18,142656362465441,Children of Men,Movie,2011-07-05 20:14:50
321,18,398526576833258,"Dude, Where's My Car?",Movie,2012-04-21 19:08:16
322,18,112854815395363,The Illusionist,Movie,2010-05-08 22:21:55
323,18,135476183646,Valentine's Day,Movie,2011-04-04 22:50:03
324,18,300269803925,Karthik Calling Karthik,Movie,2010-02-20 22:44:19
325,18,112534742091328,National Treasure,Movie,2010-05-08 18:53:22
326,18,113740267329,"Yes Madam, Sir",Movie,2011-09-04 22:30:32
327,18,228419920656059,FALTU,Movie,2013-10-25 02:43:41
328,18,9020504867,50 first dates,Movie,2010-02-09 21:02:08
329,18,160640653979986,The Social Network Movie,Movie,2011-01-12 16:56:19
330,18,41872475652,The Ugly Truth,Movie,2010-11-01 21:35:15
331,18,343497729002344,In Bruges,Movie,2012-01-20 11:36:26
332,18,106104889420995,Post Grad,Movie,2010-07-24 23:25:56
333,18,706054532797482,Requiem for a Dream,Movie,2014-07-31 21:37:06
334,18,115941171284,The Lovely Bones,Movie,2011-08-31 18:38:04
335,18,104054269631460,Requiem for a Dream,Movie,2010-05-08 20:50:21
336,18,105191147628,LOVE AAJ KAL,Fictional character,2009-08-18 19:42:26
337,18,215380638665932,Constantine,Tv show,2014-08-15 07:06:09
338,18,104151576287633,"Dude, Where's My Car?",Movie,2010-05-08 20:35:27
339,18,205695489441687,Dear White People,Movie,2014-09-20 05:04:27
340,18,177888132258586,The Butterfly Effect,Movie,2011-05-18 10:29:10
341,19,101891889852950,Varanam Aayiram,Movie,2012-06-02 05:03:22
342,19,181894861866102,MoneyBall,Movie,2012-10-28 16:01:22
343,19,204430826236406,Top Gun,Movie,2012-12-24 15:27:26
344,19,107566302606873,Twilight (2008 film),Movie,2011-07-24 19:10:04
345,19,160640653979986,The Social Network Movie,Movie,2012-10-28 16:01:02
346,19,421592124536646,Neethaane En Ponvasantham,Community,2012-12-19 16:57:34
